cfr,nombre,fc_alta_rgfp,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,fc_estado,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte
ESP000000001,ARGOÑOS,1989-05-10,19.31,52.7,Madera,202.26,Baja Definitiva,1998-12-02,Vicedo,Lugo,Galicia,Cerco
ESP000000002,MARIA INSOLINA,1989-05-10,10.75,4.287333333333333,Madera,35.3,Baja Definitiva,1990-06-30,Santander,Cantabria,Cantabria,Artes menores
ESP000000003,MOWINKEL II,1989-05-10,11.25,6.76,Madera,44.13,Baja Definitiva,2005-02-16,Ceuta,Ceuta,Ceuta,Palangre
ESP000000004,JULIA NUMERO TRES,1989-05-10,9.149999999999999,6.6226666666666665,Madera,44.13,Baja Definitiva,1994-08-26,Santander,Cantabria,Cantabria,Artes fijas
ESP000000005,SIEMPRE HERMANOS EZQUIAGA,1989-05-10,19.6,40.0,Madera,169.16,Baja Definitiva,2006-11-15,Bermeo,Bizkaia,País Vasco,Artes menores
ESP000000006,ALEJANDRO JOSE,1989-05-10,7.05,2.040666666666666,Madera,30.16,Baja Definitiva,1993-02-11,Santander,Cantabria,Cantabria,Palangre
ESP000000007,TONETTI,1989-05-10,7.0,4.12,Madera,27.21,Baja Definitiva,2001-06-18,Santander,Cantabria,Cantabria,Palangre
ESP000000008,ANABEL,1989-05-10,23.75,107.96933333333332,Madera,308.91,Baja Definitiva,1992-02-27,Santander,Cantabria,Cantabria,Cerco
ESP000000009,NTRA.SRA.DEL CARMEN DE SAN CIPRIAN,1989-05-10,24.25,144.17,Madera,279.49,Baja Definitiva,1996-04-25,Santander,Cantabria,Cantabria,Cerco
ESP000000010,MARIA DIGNA,1989-05-10,23.0,100.09,Madera,316.26,Baja Definitiva,1996-08-09,Santander,Cantabria,Cantabria,Cerco
ESP000000011,LUZ DEL ALBA,1989-05-10,20.94333333333333,61.78,Madera,186.82,Baja Definitiva,1999-07-28,Santander,Cantabria,Cantabria,Cerco
ESP000000012,SANTA MARIA SALOME,1989-05-10,21.42,92.94,Madera,294.2,Baja Definitiva,1995-03-17,Santander,Cantabria,Cantabria,Cerco
ESP000000013,SIEMPRE BIDECHEA,1989-05-10,10.8,4.52,Madera,33.1,Baja Definitiva,1993-12-09,Santander,Cantabria,Cantabria,Desconocido
ESP000000014,SANTILLANA DEL MAR,1989-05-10,29.3,132.0,Madera,294.2,Baja Definitiva,2000-12-04,Santander,Cantabria,Cantabria,Arrastre
ESP000000015,MONTE PAJARES,1989-05-10,19.75,60.97933333333334,Madera,209.62,Baja Definitiva,1992-04-02,Santoña,Cantabria,Cantabria,Cerco
ESP000000016,SIEMPRE MARIA YOLANDA,1989-05-10,14.419999999999998,46.55,Madera,117.68,Baja Definitiva,1998-02-05,Santander,Cantabria,Cantabria,Palangre
ESP000000017,VIRGEN DEL ROCIO I,1989-05-10,21.7,64.808,Madera,205.94,Baja Definitiva,1991-06-28,Santander,Cantabria,Cantabria,Cerco
ESP000000018,MAR Y CIELO SEGUNDO,1989-05-10,18.5,31.53,Madera,117.68,Baja Definitiva,2003-03-05,Santoña,Cantabria,Cantabria,Palangre
ESP000000019,TORROPI SEGUNDO,1989-05-10,18.4,32.43,Madera,110.32,Baja Definitiva,2005-11-10,Javea,Alicante,Comunitat Valenciana,Palangre
ESP000000020,BRISAS DE LA MONTAÑA,1989-05-10,19.25,47.67,Madera,316.26,Baja Definitiva,2001-07-10,Aviles,Asturias,Asturias,Cerco
ESP000000021,MONTE PARRA,1989-05-10,13.040666666666665,21.07,Madera,94.14,Baja Definitiva,1991-12-31,Santander,Cantabria,Cantabria,Palangre
ESP000000022,LOSADA,1989-05-10,29.0,132.0,Madera,441.3,Baja Definitiva,2000-02-02,Santander,Cantabria,Cantabria,Arrastre
ESP000000023,JOSE ANGEL,1989-05-10,8.954666666666666,3.622666666666667,Madera,33.1,Baja Definitiva,1993-06-25,Santander,Cantabria,Cantabria,Desconocido
ESP000000024,NADAL,1989-05-10,23.7,63.3,Madera,294.2,Baja Definitiva,1999-03-15,Ceuta,Ceuta,Ceuta,Cerco
ESP000000025,AVENIDA SOTILEZA,1989-05-10,12.3,10.36,Madera,88.26,Baja Definitiva,2001-07-12,Comillas,Cantabria,Cantabria,Palangre
ESP000000026,CHAROLAIS,1989-05-10,30.8,202.0,Acero,397.17,Baja Definitiva,2007-02-14,Santander,Cantabria,Cantabria,Arrastre
ESP000000027,DOS PRIMAS,1989-05-10,9.52,4.153333333333333,Madera,29.42,Baja Definitiva,1991-12-19,Santander,Cantabria,Cantabria,Palangre
ESP000000028,CARBAL PRIMERO,1989-05-10,31.85,241.0,Acero,441.3,Baja Definitiva,2010-11-02,Vigo,Pontevedra,Galicia,Artes fijas
ESP000000029,JOSE LUIS,1989-05-10,9.063999999999998,4.44,Madera,29.42,Baja Definitiva,2001-06-07,Laredo,Cantabria,Cantabria,Artes menores
ESP000000030,NUEVO FLIPPER,1989-05-10,16.566,30.6,Madera,143.42,Baja Definitiva,2001-07-03,Cillero,Lugo,Galicia,Palangre
ESP000000031,ELORZA,1989-05-10,12.2,16.448,Madera,88.26,Baja Definitiva,1991-06-12,Santander,Cantabria,Cantabria,Palangre
ESP000000032,FRANPER,1989-05-10,28.0,416.0,Acero,360.39,Baja Definitiva,2000-01-19,Santander,Cantabria,Cantabria,Artes fijas
ESP000000033,SOTERO,1989-05-10,10.25,4.25,Madera,48.54,Baja Definitiva,1997-06-18,Andraitx,Illes balears,Illes balears,Palangre
