,cfr,nombre,eslora_total,arqueo_gt,material_casco,potencia_kw,estado_rgfp,Puerto,Provincia,Comunidad Autónoma,Tipo de Arte,Edad_buque,cluster
0,ESP000000001,ARGOÑOS,19.31,52.7,Madera,202.26,Baja Definitiva,Vicedo,Lugo,Galicia,Cerco,9,5
1,ESP000000002,MARIA INSOLINA,10.75,4.287333333333333,Madera,35.3,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,1,10
2,ESP000000003,MOWINKEL II,11.25,6.76,Madera,44.13,Baja Definitiva,Ceuta,Ceuta,Ceuta,Palangre,15,8
3,ESP000000004,JULIA NUMERO TRES,9.15,6.6226666666666665,Madera,44.13,Baja Definitiva,Santander,Cantabria,Cantabria,Artes fijas,5,8
4,ESP000000005,SIEMPRE HERMANOS EZQUIAGA,19.6,40.0,Madera,169.16,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Artes menores,17,5
5,ESP000000006,ALEJANDRO JOSE,7.05,2.040666666666666,Madera,30.16,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,3,8
6,ESP000000007,TONETTI,7.0,4.12,Madera,27.21,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,12,8
7,ESP000000008,ANABEL,23.75,107.96933333333332,Madera,308.91,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,2,5
8,ESP000000009,NTRA.SRA.DEL CARMEN DE SAN CIPRIAN,24.25,144.17,Madera,279.49,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,6,5
9,ESP000000010,MARIA DIGNA,23.0,100.09,Madera,316.26,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,7,5
10,ESP000000011,LUZ DEL ALBA,20.94333333333333,61.78,Madera,186.82,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,10,5
11,ESP000000012,SANTA MARIA SALOME,21.42,92.94,Madera,294.2,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,5,5
12,ESP000000013,SIEMPRE BIDECHEA,10.8,4.52,Madera,33.1,Baja Definitiva,Santander,Cantabria,Cantabria,Desconocido,4,8
13,ESP000000014,SANTILLANA DEL MAR,29.3,132.0,Madera,294.2,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,11,5
14,ESP000000015,MONTE PAJARES,19.75,60.97933333333334,Madera,209.62,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,2,5
15,ESP000000016,SIEMPRE MARIA YOLANDA,14.419999999999998,46.55,Madera,117.68,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,8,8
16,ESP000000017,VIRGEN DEL ROCIO I,21.7,64.808,Madera,205.94,Baja Definitiva,Santander,Cantabria,Cantabria,Cerco,2,5
17,ESP000000018,MAR Y CIELO SEGUNDO,18.5,31.53,Madera,117.68,Baja Definitiva,Santoña,Cantabria,Cantabria,Palangre,13,5
18,ESP000000019,TORROPI SEGUNDO,18.4,32.43,Madera,110.32,Baja Definitiva,Javea,Alicante,Comunitat Valenciana,Palangre,16,5
19,ESP000000020,BRISAS DE LA MONTAÑA,19.25,47.67,Madera,316.26,Baja Definitiva,Aviles,Asturias,Asturias,Cerco,12,5
20,ESP000000021,MONTE PARRA,13.040666666666665,21.07,Madera,94.14,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
21,ESP000000022,LOSADA,29.0,132.0,Madera,441.3,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,10,5
22,ESP000000023,JOSE ANGEL,8.954666666666666,3.622666666666667,Madera,33.1,Baja Definitiva,Santander,Cantabria,Cantabria,Desconocido,4,8
23,ESP000000024,NADAL,23.7,63.3,Madera,294.2,Baja Definitiva,Ceuta,Ceuta,Ceuta,Cerco,9,5
24,ESP000000025,AVENIDA SOTILEZA,12.3,10.36,Madera,88.26,Baja Definitiva,Comillas,Cantabria,Cantabria,Palangre,12,8
25,ESP000000026,CHAROLAIS,30.8,202.0,Acero,397.17,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,17,6
26,ESP000000027,DOS PRIMAS,9.52,4.153333333333333,Madera,29.42,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
27,ESP000000028,CARBAL PRIMERO,31.85,241.0,Acero,441.3,Baja Definitiva,Vigo,Pontevedra,Galicia,Artes fijas,21,6
28,ESP000000029,JOSE LUIS,9.063999999999998,4.44,Madera,29.42,Baja Definitiva,Laredo,Cantabria,Cantabria,Artes menores,12,10
29,ESP000000030,NUEVO FLIPPER,16.566,30.6,Madera,143.42,Baja Definitiva,Cillero,Lugo,Galicia,Palangre,12,5
30,ESP000000031,ELORZA,12.2,16.448,Madera,88.26,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,2,8
31,ESP000000032,FRANPER,28.0,416.0,Acero,360.39,Baja Definitiva,Santander,Cantabria,Cantabria,Artes fijas,10,6
32,ESP000000033,SOTERO,10.25,4.25,Madera,48.54,Baja Definitiva,Andraitx,Illes balears,Illes balears,Palangre,8,8
33,ESP000000035,MANUEL MARINO,23.1,81.18733333333333,Madera,316.26,Baja Definitiva,Santander,Cantabria,Cantabria,Arrastre,2,5
34,ESP000000036,SIEMPRE ROSINA ANGEL,26.76,130.0,Madera,514.85,Baja Definitiva,Santa Eugenia de Riveira,A Coruña,Galicia,Arrastre,8,5
35,ESP000000037,COSTAS BEIVIDE SEGUNDO,18.2,30.0,Madera,139.74,Baja Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores,12,5
36,ESP000000038,MARIA DE LOS DOLORES,10.4,5.387333333333332,Madera,46.34,Baja Definitiva,Lastres,Asturias,Asturias,Palangre,2,8
37,ESP000000040,TRINIDO,15.149333333333336,21.42,Madera,127.98,Baja Definitiva,Santander,Cantabria,Cantabria,Palangre,7,8
38,ESP000000041,CARMEN,10.25,4.25,Madera,44.13,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,10,10
39,ESP000000042,VISI,7.05,1.46,Madera,25.74,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,25,0
40,ESP000000043,SAN FRANCISCO JAVIER I,11.5,6.43,Madera,69.14,Baja Definitiva,Santander,Cantabria,Cantabria,Artes menores,10,10
41,ESP000000044,ESTEFANIA,5.177333333333333,1.78,Madera,6.62,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,6,10
42,ESP000000047,MAKALLO,7.4,1.89,Madera,21.33,Baja Definitiva,Santurce,Bizkaia,País Vasco,Artes menores,12,10
43,ESP000000054,DOS AMIGOS,10.124,7.416666666666667,Madera,47.81,Baja Definitiva,Guetaria,Gipuzkoa,País Vasco,Artes fijas,4,8
44,ESP000000055,AMA ANITA,9.22,3.23,Madera,46.34,Baja Definitiva,Santoña,Cantabria,Cantabria,Artes menores,15,0
45,ESP000000058,ARRITXU,12.4,10.95,Madera,94.14,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,13,10
46,ESP000000061,JESUSEN BIOTZA,5.84,0.91,Madera,6.62,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,10,10
47,ESP000000063,BETI UR TXORIA,13.65,10.76,Madera,100.76,Baja Definitiva,Ceuta,Ceuta,Ceuta,Artes menores,16,0
48,ESP000000069,MIKEL DEUNA,13.13,15.38,Madera,94.14,Baja Definitiva,Ceuta,Ceuta,Ceuta,Artes menores,15,0
49,ESP000000071,SIEMPRE ANTIGUAKO AMA,27.6,199.28,Madera,367.75,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,5,5
50,ESP000000073,CARLOS,12.4,9.39,Madera,44.13,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Palangre,7,8
51,ESP000000079,GRAN MONTSERRAT,22.5,93.0,Madera,330.97,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,13,5
52,ESP000000080,VIRGEN DE DORLETA,21.617333333333328,96.0,Madera,220.65,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,10,5
53,ESP000000082,FARO DE SANTA CATALINA,26.02,75.3,Madera,268.46,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,14,5
54,ESP000000083,PLAYA DE ONDARZABAL,26.1,116.0,Madera,312.59,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Cerco,12,5
55,ESP000000086,VIRGEN DE ARNOTEGUI,28.0,121.0,Madera,514.85,Baja Definitiva,Las Palmas - Puerto de la Luz,Las Palmas,Canarias,Artes menores,10,5
56,ESP000000089,VENUS,6.600666666666668,1.62,Madera,9.56,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,10,10
57,ESP000000091,SANTA MARIA DEL OLVIDO,13.14,9.82,Madera,75.02,Baja Definitiva,Lequeitio,Bizkaia,País Vasco,Artes menores,13,10
58,ESP000000092,TORRONTERO,20.7,73.4,Madera,268.46,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,7,5
59,ESP000000094,GURE SANTA MARIA,28.2,131.0,Madera,312.59,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,15,5
60,ESP000000095,AMAYA REYES,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
61,ESP000000096,AIRES DE BERMEO,24.229333333333333,85.67466666666665,Madera,242.71,Baja Definitiva,Santoña,Cantabria,Cantabria,Cerco,4,5
62,ESP000000097,NUEVO ROSARIO DE SANTA FE,21.125333333333334,73.124,Madera,205.94,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
63,ESP000000098,HERMANOS BULUBASTER,28.683333333333337,180.994,Madera,397.17,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,3,5
64,ESP000000099,OSTADAR,31.22,136.0,Madera,459.69,Baja Definitiva,Bermeo,Bizkaia,País Vasco,Cerco,13,5
65,ESP000000100,IZAR ARTE,26.0,95.8,Madera,242.71,Baja Definitiva,Arrecife de Lanzarote,Las Palmas,Canarias,Artes menores,13,5
