iter	MultiClass
0	1.601932774
1	1.407407481
2	1.271123847
3	1.168864822
4	1.083745451
5	1.015659595
6	0.9558426935
7	0.9057107391
8	0.864527622
9	0.8287669461
10	0.7949415285
11	0.7655903622
12	0.739223033
13	0.7158128438
14	0.6952944476
15	0.6771031893
16	0.6595241067
17	0.644711829
18	0.6304434277
19	0.6177909611
20	0.6065803109
21	0.5950380087
22	0.58500259
23	0.5749837265
24	0.5667889044
25	0.557500027
26	0.5506031478
27	0.5430742389
28	0.5366079491
29	0.53072714
30	0.5252961178
31	0.5193673222
32	0.5149876179
33	0.5102321109
34	0.5055939798
35	0.5011890722
36	0.4972583472
37	0.4933413237
38	0.4891145255
39	0.4849705756
40	0.4816426089
41	0.4783134987
42	0.4759160794
43	0.4743489129
44	0.4707882639
45	0.468325088
46	0.4663979772
47	0.4639921986
48	0.4615693737
49	0.4593525248
50	0.4573855325
51	0.4557370513
52	0.4537883796
53	0.4521373987
54	0.450642595
55	0.4491764139
56	0.4473605586
57	0.4454069571
58	0.4435735505
59	0.4419366699
60	0.4396972233
61	0.4375042386
62	0.4364158003
63	0.4347752905
64	0.4336610004
65	0.4325208216
66	0.4312250157
67	0.4297667462
68	0.4284943943
69	0.427337218
70	0.4263008082
71	0.4248157673
72	0.4233500566
73	0.4223327714
74	0.4211566964
75	0.419628487
76	0.4186446683
77	0.4176928634
78	0.4167822811
79	0.4156179236
80	0.4146223193
81	0.4138771951
82	0.4131567409
83	0.4122514029
84	0.4114114454
85	0.410584155
86	0.4095118768
87	0.4083619322
88	0.4078472563
89	0.4071291397
90	0.406523533
91	0.4053787587
92	0.4044452134
93	0.4033333154
94	0.4022200988
95	0.4013706105
96	0.4006827292
97	0.3996268957
98	0.3987162684
99	0.3974887994
100	0.3967072592
101	0.3960423632
102	0.3954372394
103	0.3948610568
104	0.3942528688
105	0.3936178232
106	0.3925428755
107	0.3917827233
108	0.3909916108
109	0.390325141
110	0.3899377043
111	0.3893213938
112	0.3887630934
113	0.3884204052
114	0.3878798066
115	0.3874546559
116	0.3868672304
117	0.3858561733
118	0.3853299859
119	0.384724194
