iter	Passed	Remaining
0	150	150324
1	160	80109
2	170	56661
3	177	44206
4	184	36658
5	189	31470
6	196	27875
7	203	25189
8	210	23162
9	217	21502
10	223	20133
11	230	18961
12	237	18003
13	243	17163
14	250	16434
15	256	15765
16	262	15206
17	269	14688
18	275	14232
19	281	13815
20	288	13446
21	294	13106
22	301	12789
23	307	12490
24	313	12212
25	319	11962
26	325	11728
27	332	11544
28	338	11348
29	345	11157
30	352	11005
31	358	10850
32	364	10689
33	370	10540
34	377	10397
35	383	10278
36	389	10148
37	396	10029
38	402	9909
39	408	9808
40	414	9697
41	420	9596
42	426	9494
43	432	9392
44	438	9307
45	444	9218
46	450	9136
47	456	9055
48	462	8971
49	468	8898
50	474	8832
51	480	8762
52	486	8700
53	492	8635
54	498	8568
55	504	8507
56	510	8450
57	517	8402
58	523	8344
59	528	8286
60	535	8238
61	541	8199
62	547	8149
63	554	8107
64	560	8060
65	566	8015
66	572	7971
67	578	7931
68	584	7887
69	590	7846
70	596	7805
71	602	7769
72	608	7730
73	614	7693
74	620	7654
75	627	7624
76	632	7587
77	638	7552
78	645	7520
79	651	7488
80	657	7459
81	663	7431
82	670	7403
83	676	7374
84	682	7347
85	688	7319
86	694	7287
87	700	7258
88	706	7229
89	712	7200
90	718	7174
91	724	7146
92	729	7118
93	736	7094
94	742	7070
95	748	7045
96	755	7028
97	761	7010
98	767	6985
99	773	6962
100	779	6942
101	786	6921
102	792	6901
103	798	6879
104	804	6856
105	810	6833
106	816	6813
107	822	6790
108	829	6777
109	835	6758
110	842	6744
111	848	6726
112	854	6711
113	860	6689
114	866	6671
115	873	6654
116	879	6637
117	886	6625
118	892	6608
119	899	6594
120	905	6578
121	911	6561
122	918	6546
123	924	6532
124	931	6519
125	938	6510
126	946	6506
127	953	6496
128	960	6487
129	967	6474
130	974	6463
131	981	6454
132	988	6443
133	995	6435
134	1002	6425
135	1009	6415
136	1017	6408
137	1024	6401
138	1031	6390
139	1038	6377
140	1045	6366
141	1051	6352
142	1058	6342
143	1066	6336
144	1073	6328
145	1080	6318
146	1091	6333
147	1101	6342
148	1109	6338
149	1118	6335
150	1125	6326
151	1131	6312
152	1137	6298
153	1144	6286
154	1150	6272
155	1157	6263
156	1165	6255
157	1171	6243
158	1178	6235
159	1185	6224
160	1192	6215
161	1199	6205
162	1206	6192
163	1212	6180
164	1219	6171
165	1225	6158
166	1232	6147
167	1238	6134
168	1245	6124
169	1251	6112
170	1258	6098
171	1264	6087
172	1270	6073
173	1277	6063
174	1283	6050
175	1290	6039
176	1296	6026
177	1302	6015
178	1309	6004
179	1314	5989
180	1320	5975
181	1326	5963
182	1332	5950
183	1338	5937
184	1345	5926
185	1351	5915
186	1358	5904
187	1365	5897
188	1372	5890
189	1379	5882
190	1386	5872
191	1393	5864
192	1400	5856
193	1407	5847
194	1414	5840
195	1421	5831
196	1428	5823
197	1435	5815
198	1442	5805
199	1449	5796
200	1455	5785
201	1461	5774
202	1468	5764
203	1474	5753
204	1480	5742
205	1487	5731
206	1493	5721
207	1499	5711
208	1506	5702
209	1513	5691
210	1519	5680
211	1525	5669
212	1531	5657
213	1537	5646
214	1543	5636
215	1550	5626
216	1556	5616
217	1562	5605
218	1569	5597
219	1575	5586
220	1581	5575
221	1587	5564
222	1593	5552
223	1599	5540
224	1605	5530
225	1611	5518
226	1617	5508
227	1623	5497
228	1629	5486
229	1635	5476
230	1642	5466
231	1648	5457
232	1655	5448
233	1660	5436
234	1666	5426
235	1672	5415
236	1678	5404
237	1684	5393
238	1690	5382
239	1696	5371
240	1702	5360
241	1708	5350
242	1714	5340
243	1720	5329
244	1726	5319
245	1731	5308
246	1737	5297
247	1744	5288
248	1750	5278
249	1755	5267
250	1761	5257
251	1768	5248
252	1774	5238
253	1780	5228
254	1786	5218
255	1792	5208
256	1797	5197
257	1803	5187
258	1810	5180
259	1817	5173
260	1824	5164
261	1830	5155
262	1835	5144
263	1842	5135
264	1848	5127
265	1854	5118
266	1861	5109
267	1867	5100
268	1873	5091
269	1879	5082
270	1885	5071
271	1891	5062
272	1898	5054
273	1904	5045
274	1910	5037
275	1917	5029
276	1923	5020
277	1929	5010
278	1935	5000
279	1941	4992
280	1947	4981
281	1953	4975
282	1959	4965
283	1965	4955
284	1971	4946
285	1977	4936
286	1983	4927
287	1989	4917
288	1995	4909
289	2001	4899
290	2007	4890
291	2013	4882
292	2019	4873
293	2025	4864
294	2031	4855
295	2037	4846
296	2043	4837
297	2049	4827
298	2055	4818
299	2061	4809
300	2067	4800
301	2073	4792
302	2079	4783
303	2085	4774
304	2092	4767
305	2098	4759
306	2105	4752
307	2111	4744
308	2117	4735
309	2123	4726
310	2130	4719
311	2136	4711
312	2143	4703
313	2149	4696
314	2156	4689
315	2165	4686
316	2172	4680
317	2178	4672
318	2184	4663
319	2191	4655
320	2197	4648
321	2204	4641
322	2211	4634
323	2217	4626
324	2223	4618
325	2229	4610
326	2235	4601
327	2241	4592
328	2247	4583
329	2253	4575
330	2259	4567
331	2265	4558
332	2272	4550
333	2278	4542
334	2283	4533
335	2289	4525
336	2295	4515
337	2301	4507
338	2307	4498
339	2313	4491
340	2319	4483
341	2325	4474
342	2332	4467
343	2338	4458
344	2345	4452
345	2351	4444
346	2356	4435
347	2363	4427
348	2369	4419
349	2376	4413
350	2381	4404
351	2387	4395
352	2394	4387
353	2400	4379
354	2405	4371
355	2411	4362
356	2417	4353
357	2423	4345
358	2429	4337
359	2434	4328
360	2441	4320
361	2446	4312
362	2453	4304
363	2459	4297
364	2465	4288
365	2471	4280
366	2477	4272
367	2483	4264
368	2489	4256
369	2494	4248
370	2501	4240
371	2507	4233
372	2514	4226
373	2519	4217
374	2526	4210
375	2531	4202
376	2537	4193
377	2544	4186
378	2549	4178
379	2556	4170
380	2562	4163
381	2568	4155
382	2574	4147
383	2580	4139
384	2586	4132
385	2592	4124
386	2598	4116
387	2604	4108
388	2610	4100
389	2616	4092
390	2622	4084
391	2628	4076
392	2633	4068
393	2640	4060
394	2646	4053
395	2652	4046
396	2658	4038
397	2665	4031
398	2671	4023
399	2676	4015
400	2682	4007
401	2688	3999
402	2694	3991
403	2700	3983
404	2706	3975
405	2712	3968
406	2718	3960
407	2724	3953
408	2730	3945
409	2737	3938
410	2742	3930
411	2748	3922
412	2754	3914
413	2760	3907
414	2766	3900
415	2772	3892
416	2778	3884
417	2784	3877
418	2790	3869
419	2796	3861
420	2802	3853
421	2808	3846
422	2814	3839
423	2821	3832
424	2828	3826
425	2834	3819
426	2841	3812
427	2848	3807
428	2855	3800
429	2861	3792
430	2868	3786
431	2875	3780
